"id","profile_id_1","profile_id_2","created_at","location_score"
17106,3816,3047,2025-03-04 17:06:41.092 +0000,0.1992913811245596
17106,3816,3047,2025-03-04 17:06:41.092 +0000,0.16607615425865602
17156,3838,1034,2025-03-05 13:04:13.955 +0000,0.011755391394228314
16655,3038,3007,2025-02-27 18:16:14.274 +0000,0.2000000000000001
16781,3704,2692,2025-03-01 06:04:01.256 +0000,0.19999999999999996
16881,3693,3695,2025-03-01 22:09:28.967 +0000,0.166360544511104
16945,3735,1412,2025-03-02 17:55:30.759 +0000,0.1666646563492489
16631,3661,3602,2025-02-27 15:28:03.510 +0000,0.16666667
16695,1526,36,2025-02-28 06:45:19.557 +0000,0.19999999999999998
16806,3692,3523,2025-03-01 13:09:54.762 +0000,0.03880439055658186
16842,3709,2941,2025-03-01 14:31:55.651 +0000,0.20000000000000007
16847,3079,1491,2025-03-01 15:00:20.903 +0000,0.14095883132513357
16954,3747,2714,2025-03-02 20:51:39.329 +0000,0.2
16995,3762,3294,2025-03-03 04:33:27.431 +0000,0.16666667
17037,3747,1083,2025-03-03 22:34:12.543 +0000,0.1316410693000993
17061,3821,538,2025-03-04 09:39:01.282 +0000,0.1505139309816906
17148,1108,3294,2025-03-05 13:01:10.276 +0000,0.11891901221012353
17148,1108,3294,2025-03-05 13:01:10.276 +0000,0.09909917882375315
16633,2776,464,2025-02-27 15:48:23.440 +0000,0.2
