id,profile_id_1,profile_id_2,created_at
237,53,50,2024-12-16 15:57:05.986404 +00:00
1226,216,126,2024-12-16 15:57:05.986404 +00:00
1238,216,193,2024-12-16 15:57:05.986404 +00:00
1242,216,110,2024-12-16 15:57:05.986404 +00:00
1256,213,80,2024-12-16 15:57:05.986404 +00:00
1257,213,110,2024-12-16 15:57:05.986404 +00:00
1268,1,30,2024-12-16 15:57:05.986404 +00:00
1943,330,33,2024-12-16 15:57:05.986404 +00:00
1946,330,54,2024-12-16 15:57:05.986404 +00:00
1948,330,48,2024-12-16 15:57:05.986404 +00:00
6795,1,525,2024-12-31 13:40:42.476688 +00:00
1984,333,54,2024-12-16 15:57:05.986404 +00:00
1997,334,144,2024-12-16 15:57:05.986404 +00:00
2010,331,312,2024-12-16 15:57:05.986404 +00:00
2013,311,272,2024-12-16 15:57:05.986404 +00:00
2039,337,147,2024-12-16 15:57:05.986404 +00:00
2051,337,211,2024-12-16 15:57:05.986404 +00:00
2054,339,48,2024-12-16 15:57:05.986404 +00:00
2060,339,320,2024-12-16 15:57:05.986404 +00:00
2071,340,195,2024-12-16 15:57:05.986404 +00:00
6817,63,146,2024-12-31 19:22:07.897691 +00:00
2093,213,331,2024-12-16 15:57:05.986404 +00:00
2095,213,329,2024-12-16 15:57:05.986404 +00:00
2103,351,23,2024-12-16 15:57:05.986404 +00:00
4625,388,492,2024-12-22 22:16:21.061769 +00:00
2770,147,233,2024-12-16 15:57:05.986404 +00:00
2795,147,279,2024-12-16 15:57:05.986404 +00:00
4651,600,517,2024-12-22 23:09:57.679778 +00:00
2805,50,135,2024-12-16 15:57:05.986404 +00:00
2813,298,24,2024-12-16 15:57:05.986404 +00:00
2815,298,87,2024-12-16 15:57:05.986404 +00:00
2838,260,230,2024-12-16 15:57:05.986404 +00:00
2842,260,415,2024-12-16 15:57:05.986404 +00:00
2849,260,413,2024-12-16 15:57:05.986404 +00:00
2865,36,49,2024-12-16 15:57:05.986404 +00:00
2870,36,33,2024-12-16 15:57:05.986404 +00:00
2875,36,27,2024-12-16 15:57:05.986404 +00:00
2884,36,87,2024-12-16 15:57:05.986404 +00:00
2886,36,151,2024-12-16 15:57:05.986404 +00:00
6836,63,623,2024-12-31 19:22:52.419494 +00:00
2895,36,149,2024-12-16 15:57:05.986404 +00:00
2900,36,84,2024-12-16 15:57:05.986404 +00:00
2906,36,68,2024-12-16 15:57:05.986404 +00:00
2909,36,192,2024-12-16 15:57:05.986404 +00:00
2911,36,260,2024-12-16 15:57:05.986404 +00:00
2914,36,359,2024-12-16 15:57:05.986404 +00:00
2916,36,381,2024-12-16 15:57:05.986404 +00:00
2924,388,359,2024-12-16 15:57:05.986404 +00:00
2927,417,386,2024-12-16 15:57:05.986404 +00:00
2933,48,335,2024-12-16 15:57:05.986404 +00:00
2939,48,373,2024-12-16 15:57:05.986404 +00:00
2951,149,34,2024-12-16 15:57:05.986404 +00:00
2954,149,56,2024-12-16 15:57:05.986404 +00:00
2967,149,207,2024-12-16 15:57:05.986404 +00:00
2971,149,396,2024-12-16 15:57:05.986404 +00:00
2976,149,397,2024-12-16 15:57:05.986404 +00:00
3823,448,331,2024-12-16 18:17:30.669646 +00:00
3829,448,309,2024-12-16 18:17:35.489861 +00:00
3836,448,194,2024-12-16 18:17:50.469649 +00:00
3854,448,396,2024-12-16 18:31:59.449857 +00:00
3859,487,430,2024-12-16 18:33:55.506233 +00:00
4661,600,542,2024-12-22 23:27:12.284396 +00:00
3891,260,30,2024-12-16 21:15:02.911944 +00:00
3893,260,462,2024-12-16 21:15:04.951544 +00:00
3899,260,373,2024-12-16 21:15:40.837781 +00:00
3906,260,472,2024-12-16 21:16:35.512544 +00:00
3912,260,384,2024-12-16 21:16:53.510522 +00:00
3927,492,233,2024-12-16 23:22:51.432928 +00:00
3941,495,447,2024-12-17 12:50:51.020589 +00:00
3952,468,415,2024-12-17 15:23:57.391818 +00:00
3961,459,386,2024-12-17 19:39:18.749295 +00:00
3970,468,87,2024-12-17 19:42:11.346305 +00:00
3972,459,444,2024-12-17 19:42:32.865519 +00:00
6838,63,845,2024-12-31 19:23:14.137849 +00:00
3998,505,48,2024-12-18 00:30:56.214867 +00:00
4006,505,458,2024-12-18 00:31:55.847424 +00:00
4007,505,217,2024-12-18 00:37:17.608129 +00:00
4009,505,156,2024-12-18 00:37:34.124773 +00:00
4728,213,398,2024-12-23 00:58:27.072642 +00:00
5690,738,396,2024-12-27 21:54:20.897156 +00:00
5696,738,440,2024-12-27 21:54:52.820634 +00:00
5702,738,518,2024-12-27 21:55:11.773987 +00:00
5718,741,396,2024-12-27 23:51:35.486549 +00:00
5744,713,385,2024-12-28 03:03:56.027993 +00:00
5779,746,600,2024-12-28 05:33:40.024526 +00:00
5787,738,216,2024-12-28 09:22:33.914521 +00:00
6839,63,562,2024-12-31 19:23:29.693012 +00:00
6861,551,836,2025-01-01 01:47:58.110657 +00:00
6875,867,413,2025-01-01 02:33:00.796273 +00:00
6887,867,663,2025-01-01 02:34:00.863341 +00:00
5851,351,260,2024-12-28 14:32:39.573340 +00:00
5853,697,54,2024-12-28 16:21:18.878619 +00:00
5868,468,26,2024-12-28 17:44:20.842461 +00:00
5911,769,436,2024-12-28 23:55:08.417106 +00:00
6913,868,457,2025-01-01 03:04:53.970069 +00:00
5946,370,88,2024-12-29 03:15:05.453956 +00:00
5955,770,181,2024-12-29 10:54:22.324914 +00:00
5977,785,385,2024-12-29 12:05:39.363670 +00:00
5979,785,639,2024-12-29 12:06:07.463163 +00:00
5980,785,468,2024-12-29 12:06:30.354365 +00:00
5995,785,563,2024-12-29 12:11:54.304777 +00:00
6923,868,818,2025-01-01 03:11:41.966661 +00:00
6110,794,223,2024-12-29 15:44:00.168203 +00:00
6718,845,233,2024-12-31 04:11:46.302043 +00:00
6747,847,468,2024-12-31 07:08:13.428990 +00:00
